steps,size,top 500,top 1000,top 5000,top 10000,top 50000
5000,32,0,1,18,30,110
10000,32,0,1,22,41,107
15000,32,0,1,30,47,125
20000,32,1,2,40,58,151
25000,32,2,5,52,77,182
30000,32,2,9,62,90,198
35000,32,2,12,70,99,222
40000,32,3,19,76,104,226
45000,32,2,22,81,110,234
50000,32,6,24,89,116,242
55000,32,10,27,89,119,238
60000,32,13,26,99,125,247
65000,32,17,32,108,143,251
70000,32,20,48,116,152,257
75000,32,24,53,118,156,258
80000,32,23,54,122,163,260
85000,32,30,58,124,168,266
90000,32,35,58,132,171,269
95000,32,41,62,140,187,277
100000,32,43,69,152,184,279
105000,32,42,71,161,192,285
110000,32,44,78,162,191,289
115000,32,46,80,167,195,294
120000,32,47,77,169,194,298
125000,32,55,85,173,197,302
130000,32,60,94,174,203,306
135000,32,64,99,177,209,308
140000,32,67,101,183,215,312
145000,32,69,103,191,222,308
150000,32,70,109,190,225,313
155000,32,72,111,191,229,315
160000,32,71,116,190,231,312
165000,32,78,120,193,231,317
170000,32,81,120,199,235,317
175000,32,85,125,204,236,317
180000,32,84,128,210,241,324
185000,32,87,127,214,244,322
190000,32,88,127,216,250,327
195000,32,87,131,217,246,330
200000,32,90,132,210,249,329
205000,32,94,136,217,250,329
210000,32,102,136,219,255,329
215000,32,104,137,219,255,329
220000,32,105,138,226,261,335
225000,32,109,137,228,263,340
230000,32,110,139,231,262,339
235000,32,111,139,232,264,338
240000,32,112,138,228,263,338
245000,32,114,142,228,267,339
250000,32,115,141,232,270,340
255000,32,116,145,233,272,341
260000,32,117,147,239,274,343
265000,32,119,146,244,274,349
270000,32,118,145,245,276,351
275000,32,119,144,242,278,354
280000,32,121,144,244,281,355
285000,32,122,148,250,286,354
290000,32,122,147,251,286,354
295000,32,123,151,247,285,354
300000,32,123,154,248,285,356
305000,32,124,159,247,288,362
310000,32,123,160,246,288,365
315000,32,126,161,247,288,365
320000,32,127,161,252,287,367
325000,32,130,161,253,288,369
330000,32,131,162,255,293,369
335000,32,133,164,259,292,370
340000,32,137,164,259,292,368
345000,32,138,161,257,292,368
350000,32,139,163,263,293,370
355000,32,139,163,258,294,371
360000,32,140,166,258,296,370
365000,32,139,164,256,298,372
370000,32,139,164,259,299,371
375000,32,143,165,261,299,372
380000,32,143,167,262,299,372
385000,32,144,169,267,299,372
390000,32,144,171,266,301,372
395000,32,144,172,266,297,374
400000,32,145,173,268,297,373
405000,32,144,175,268,300,376
410000,32,144,172,269,300,377
415000,32,146,176,272,306,378
420000,32,144,177,272,309,377
425000,32,145,178,272,312,379
430000,32,147,178,273,312,379
435000,32,149,178,272,314,380
440000,32,148,177,273,312,380
445000,32,148,180,274,313,380
450000,32,149,181,273,312,379
455000,32,150,181,272,311,380
460000,32,149,183,272,313,381
465000,32,149,184,271,315,381
470000,32,151,184,274,321,382
475000,32,151,187,278,321,381
480000,32,151,187,277,323,380
485000,32,151,187,279,320,379
490000,32,150,190,281,317,380
495000,32,150,191,284,314,385
500000,32,150,194,282,314,386
505000,32,153,195,280,317,387
510000,32,152,194,281,320,386
515000,32,154,194,284,321,385
520000,32,155,194,285,326,384
525000,32,157,195,286,326,385
530000,32,157,195,283,327,384
535000,32,157,193,287,326,382
540000,32,159,192,290,324,383
545000,32,157,192,291,324,383
550000,32,158,192,292,325,384